"date","CH1_Hz","CH1_Raw","CH1_sens","CH1_zero","CH2_Hz","CH2_Raw","Control_Temp","HV_1","HV_1_cntl","HV_2","HV_2_cntl","NO2_converter","NOx_cal","NO_Cal_flow","NO_Conc","NO_valve","OxygenFlow_1","OxygenFlow_2","oxygen_valve_1","oxygen_valve_2","ozone_1","ozone_2","PMT_Temp","Rxn_Cell_Temp","Rxn_Vessel_Pressure","SampleFlow1","vac_valve_1","vac_valve_2","zero_air_valve","zero_valve_1","zero_valve_2","Zero_Vol_Temp","Bypass_prereactor","NO2_CE","no2_conc_avg","no_conc_avg","Titration_lamp","no2_ch1_5min","no_cal_conc_nox","no_ch1_5min","diodes","NO2_CE_diodes","NO2_conc_diodes","no2_conc_diodes_5min","M3_NO","M3_NO_cyclone","M3_zero","NOy_conc_cyclone","NOy_conc_nocyclone","SampleFlow1_set"
2021-06-02 16:00:00,109388.549456284,69926941.1627907,5.355657,4614.69477147766,2317.63077758985,2135931.58139535,20.3583078224101,1653.93926466564,0.962453728186145,1829.60472388108,0.959809624537282,0.186531266702298,0.783253842077371,7.59145899307611,33863.2035406005,0.939618644067797,95.1897931871036,94.7950208668076,0.978318350079323,0.978318350079323,0.967741935483871,0.967741935483871,-29.5048393393235,35.4307832928118,0.240095738302326,990.697642082452,0.982020095187731,0.980962453728186,0.0185381355932203,0.2226957911561,0.2226957911561,34.6000619503171,2422.22405097365,0.8634369,19478.2624835556,29803.7869034027,0.489773355444997,20099.9454533113,39526.68,27749.0768936755,0.220089571337172,0.4747054,17697.2709781003,17735.1346066225,2413.22181210191,2401.04033642384,2422.22405097365,-5.68712343766491,-2.53273992761905,NA
2021-06-02 17:00:00,3790.19583323944,216889029.71831,5.355657,3665.90472668174,2359.18571126761,8734596.80788732,20.5137736197183,1719.12248732394,1,1906.08680309859,1,0.198634035287422,0,0.416653430676056,-16.4899348333182,0,95.0850621492958,94.675554315493,1,1,1,1,-29.6304394450704,35.3176754704225,0.21657862534507,991.280264112676,1,1,0.489997182304875,0.201361315938741,0.201361315938741,34.6310144253521,2357.53455568118,0.8634369,475.492750732394,2205.45043403099,0,535.417941124929,39526.68,4096.69361993217,0.195066628863056,0.4747054,131.053602201239,131.956912570096,2363.40615771622,2369.63246947428,2357.53455568118,1.08389721373239,0.0135446677183099,NA
2021-06-02 18:00:00,3483.29306225352,229688349.774648,5.355657,3389.79993103448,2314.81673633803,17100310.9408451,20.4254458760563,1719.16662140845,1,1906.45784873239,1,0.198634035287422,0,0.42252207543662,-17.2887113534601,0,94.9560452591549,94.887484915493,1,1,1,1,-29.5114964,35.4176160591549,0.244489627940282,991.448081549296,1,1,0,0.201304224553445,0.201077708451503,34.926565656338,2311.77165234596,0.8634369,224.666286,-23.0885802422535,0,226.295090898813,39526.68,-26.1795986376484,0.194783101786221,0.4747054,16.8530136647887,16.9742319318824,2319.08353998305,2317.05369595931,2311.77165234596,1.74346541931549,2.14785373169014,NA
2021-06-02 19:00:00,3370.38426197183,242095632,5.355657,3319.33478688525,2292.54815661972,25400887.7070423,19.8363465014084,1719.27409859155,1,1906.34977830986,1,0.198805460750853,0,0.424237873464789,-25.1301948783436,0,94.9280675323944,94.730042343662,1,1,1,1,-29.5949590366197,35.4219414647887,0.218404251694366,991.631169915493,1,1,0,0.201020697476609,0.201020697476609,34.9941244197183,2302.79061079706,0.8634369,194.050677352113,-24.8006099042254,0,193.559813199548,39526.68,-21.3927967637083,0.194499574709385,0.4747054,-0.290138328450704,-0.401700562747314,2284.80250452233,2289.65994262295,2302.79061079706,-3.27887452704225,-4.48926906743662,NA
2021-06-02 20:00:00,3254.79301605634,254015524.647887,5.355657,3220.73509723007,2246.14351352113,33585824.8169014,19.4716375633803,1719.07160394366,1,1906.28033352113,1,0.198805460750853,0,0.425512928929577,-27.1857977472577,0,95.1063489295775,94.9378828,1,1,1,1,-29.5990070056338,35.4115528366197,0.237380224980282,991.749835830986,1,1,0,0.201644923425978,0.201361315938741,34.9929816112676,2242.37127247032,0.8634369,177.778700929577,-30.9158348366197,0,178.064538552855,39526.68,-30.6773522781232,0.194499574709385,0.4747054,16.5750779887324,16.5881267249859,2252.04763227812,2244.95827162239,2242.37127247032,-1.07062397047887,1.12884066915493,NA
2021-06-02 21:00:00,3202.86203183099,265593756.338028,5.355657,3170.1128120407,2239.63309577465,41629823.7183099,19.6160285859155,1719.2217943662,1,1906.33776816901,1,0.198293029871977,0,0.425366375690141,-26.0429241842393,0,95.1402085661972,94.8580292619718,1,1,1,1,-29.5372411352113,35.4380226676056,0.236695613643662,991.793896647887,1,1,0,0.201644923425978,0.201587751630281,35.0453191098592,2244.70085443754,0.8634369,167.242923352113,-29.3245843323944,0,167.334304946297,39526.68,-29.3424442962125,0.195011337868481,0.4747054,11.6924576662535,11.6954709981628,2239.50522605256,2231.69319530808,2244.70085443754,-2.92889696901408,-1.05818925847887,NA
2021-06-02 22:00:00,3169.91939887324,277078881.380282,5.355657,3140.44884087055,2232.23774422535,49686241.5211268,19.6395963859155,1719.29422253521,1,1906.17517323944,1,0.198634035287422,0,0.421920012619718,-25.2841243609135,0,95.0276704591549,94.5211311408451,1,1,1,1,-29.5619362338028,35.4250537690141,0.204220538571268,991.639946647887,1,1,0,0.201361315938741,0.201361315938741,35.0135251323944,2233.94481995478,0.8634369,159.701897943662,-28.2318191183099,0,159.859943583946,39526.68,-28.3658606472583,0.194783101786221,0.4747054,10.8564850152113,10.8590428643301,2233.11012521198,2228.05093018655,2233.94481995478,-1.00863284081127,0.142522846394366,NA
2021-06-02 23:00:00,3144.42509518446,288468028.273726,5.355657,3116.00310567957,2243.66410137989,57754608.4990144,19.7746160771614,1719.10023486342,1,1906.00198113208,1,0.198577524893314,0,0.423299847535905,-23.5823975638429,0,94.9764944381864,94.6447536637567,1,1,1,1,-29.5908905068995,35.426267265559,0.192108951974373,991.610963362433,1,1,0,0.201587751630281,0.201587751630281,35.040695623768,2245.50849222944,0.8634369,151.520651534779,-26.2314287074064,0,151.627087736649,39526.68,-26.4214337383442,0.194499574709385,0.4747054,8.68883954857787,8.68576091155694,2241.66826052557,2250.42354648206,2245.50849222944,0.448414561672768,-1.54997053460997,NA
2021-06-03 00:00:00,3117.89097830986,299718769.71831,5.355657,3089.36271594121,2240.98247323944,65822957.9070423,19.7372833239437,1719.16386,1,1905.8213628169,1,0.198634035287422,0,0.424034064647887,-22.8379379645663,0,95.0704274929577,94.1867781577465,1,1,1,1,-29.5768712816901,35.4405927070423,0.178029825566197,991.853580394366,1,1,0,0.201077708451503,0.201077708451503,35.0583864676056,2239.18424901074,0.8634369,146.151147633803,-26.1043566816901,0,146.242547286603,39526.68,-25.9960467354438,0.194838343732275,0.4747054,12.4883981566197,12.4871265375919,2243.60509468626,2237.1537803844,2239.18424901074,0.149909725859155,1.60573416861972,NA
2021-06-03 01:00:00,3101.26569408451,310914096.647887,5.355657,3076.77480079118,2227.57365802817,73866660.0197183,19.6269669521127,1719.3458228169,1,1905.9545856338,1,0.198805460750853,0,0.424436278394366,-23.6740581257511,0,95.0662593549296,94.6320378647887,1,1,1,1,-29.5626770676056,35.4360286647887,0.172359857866761,991.825317521127,1,1,0,0.201587751630281,0.201530612244898,35.0434864140845,2221.58240180842,0.8634369,140.817734450704,-26.6838603380282,0,140.822044234031,39526.68,-26.6865291859808,0.194783101786221,0.4747054,12.6866125529577,12.6926721642171,2233.35238694177,2232.5687165065,2221.58240180842,2.52421522912676,2.77080802208451,NA
